theta_cp value,KSIM avg.,KSIM_err,CLU avg,CLU_err
0.0,0.016908343965255507,0.0068495900102292975,0.0088693365502250897,0.00027632007310245815
0.01,0.018361872046834923,0.0063717825075824755,0.0090880624501583577,0.00033312600283348127
0.02,0.020197127857081026,0.0045181323707536337,0.0092469960138392739,0.00029375197542751575
0.03,0.023001116636518999,0.003961489884337208,0.0095300250027952182,0.00035040643530654531
0.04,0.02545134306620887,0.0047314026263072656,0.0099416436301542187,0.00033275259010769401
0.05,0.029432749733831511,0.0056966915062907353,0.010501011202211372,0.00031672532661534188
0.06,0.036380759513181336,0.0049240899394815511,0.011392831024759659,0.00035139470952933426
0.07,0.043852804051006215,0.0048916309810570491,0.012205451434324065,0.00034101577777504322
0.08,0.04742691071530418,0.0056327547402057615,0.012202584188447826,0.00044620684124881734
0.09,0.04923344601738415,0.0074361424695745422,0.011922900024137867,0.00045079396688936079
0.1,0.051901956321108743,0.0092127431650228971,0.01156459478589307,0.000426534745201268
0.11,0.054166488627073239,0.0093350308533019059,0.011585158942124755,0.00042632131669002437
0.12,0.056487222908579292,0.0071409726466469675,0.011864375545393446,0.00038960290721251449
0.13,0.056364056895926065,0.0074113661669341219,0.012095095763347921,0.00042289829299140425
0.14,0.056018388345758133,0.0082655868853507841,0.012042785468273292,0.0006078604954481209
0.15,0.054916706434294117,0.0050932122057790533,0.011445774085088605,0.00054394406275095047
0.16,0.054688968025727411,0.0041247326501083724,0.010274586441066765,0.00066807571523105989
0.17,0.052931136305871762,0.0045716114837450472,0.0088378163121745883,0.00023033557467797786
0.18,0.049991012881918068,0.0038190541284899016,0.010548434215659489,0.0003643729033485938
0.19,0.048048104428649083,0.0026594832845793712,0.012368366237465013,0.00051698690558631306
0.2,0.044676734379948527,0.0036853401988123161,0.014148129365967124,0.00037002428288469488
0.21,0.042713007584518341,0.0046612787598223765,0.01585442587099431,0.00031439940532459239
0.22,0.039638569091758398,0.0036965426342431135,0.01890199549031784,0.0011841108075987573
0.23,0.035677916533715902,0.0051148200039441497,0.02563268494756445,0.0016183998536212288
0.24,0.03295213514291627,0.0028713143764425297,0.03306173249849706,0.0012480337428751112
0.25,0.029249678407982743,0.0027560874231291246,0.040817826631416636,0.001552105248375079
0.26,0.025216818262740408,0.0037431391096388478,0.05006368252766695,0.0012886390390033815
0.27,0.022477326927212295,0.002672168946296535,0.06024340086219284,0.0015230356000054887
0.28,0.019422406126208398,0.0034864900708662184,0.070903512559614343,0.0014989933777930439
0.29,0.016462053656132649,0.0035143325195998616,0.081956729338731354,0.0017360048554669189
0.3,0.013597461055616105,0.00417540191920668,0.092350363785088138,0.00099002524518231744
0.31,0.010987031025709288,0.0039793268589471565,0.10317741087394165,0.0012689797212030174
0.32,0.009549054923466237,0.0041973280639655882,0.11380664016229633,0.001193354608829543
0.33,0.0081945420842965983,0.0040605568848061579,0.12359735781421952,0.0012835325443073878
0.34,0.0071613201000436224,0.0034191156671610941,0.13399019492583458,0.001366648167115625
0.35000000000000003,0.0067266117783207234,0.003426203840220948,0.14409145506983051,0.0014353768813287204
0.36,0.0057339221292934603,0.004164615351982137,0.15375128968006604,0.0011005081012930573
0.37,0.0051649728413157413,0.003869392619215426,0.16351806865286825,0.0013173297523568911
0.38,0.0047271536907361831,0.004301415516011581,0.17397366845195578,0.0017638248981503707
0.39,0.004383145768229733,0.0039690366450057055,0.18457689230785945,0.0018213179781622485
0.4,0.004270814185182192,0.0038945524961208427,0.19510830098359186,0.0016377564376093556
0.41000000000000003,0.0038499718179002447,0.0026975692850166591,0.20542936960293329,0.0013391577199023258
0.42,0.003742829954000884,0.0022173772470802113,0.21479585176286239,0.0017793409589168252
0.43,0.003652828050286723,0.0029863694014777651,0.22409367437949546,0.0018749211839673013
0.44,0.0033424405130582993,0.002194739046625092,0.23245855621429418,0.0013166909624425932
0.45,0.003116527878769251,0.001758120969589036,0.24012816424723793,0.0013620819626161407
0.46,0.0030869450072888217,0.0018967852318895074,0.24774162961075175,0.001677628763081182
0.47000000000000003,0.0028267160092074603,0.0015529174876348388,0.2543838470223575,0.0020439242467660268
0.48,0.0027560754189309066,0.0016387657870384946,0.26064139179179369,0.001953424349171673
0.49,0.0024264249073444617,0.0018336298304130333,0.26652640115332249,0.0018386622053169488
0.5,0.0022178535937481094,0.002132340105094774,0.27167587477678545,0.0021049744161933392
