theta_ct value,KSIM avg.,KSIM_err,CLU avg,CLU_err
0.001,0.055737457829253378,0.007949411814364097,0.0124931994328411,0.00042777354381734727
0.002,0.055044808075954535,0.0069875033934405778,0.01231930111469319,0.00043564392112106689
0.003,0.055931366872424629,0.0070900085922710569,0.012165788734391867,0.00043160403395601284
0.004,0.055749351038003957,0.0067406833199931508,0.012019251809512976,0.00044516395935304074
0.005,0.056487222908579292,0.0071409726466469675,0.011864375545393446,0.00038960290721251449
0.006,0.056117780346317682,0.0069072446492829086,0.011687536235977809,0.00045331124438462069
0.007,0.056293882555863817,0.0073175161411668695,0.01145400212121717,0.0005550761592894261
0.008,0.055888466890206989,0.0080414156832492346,0.011217445966668627,0.00051928311317723033
0.009000000000000001,0.0563988736630592,0.0072042148416821584,0.011008408157670247,0.0004795601590883462
0.01,0.056331836098807229,0.0081226518109550963,0.010707215519069059,0.00030289491123602821
0.011,0.055963121578524441,0.0083439265453624338,0.010417343496923252,0.00043006940768075368
0.012,0.055274000359174826,0.0082468050880573004,0.010122609911119362,0.00041875157122723498
0.013000000000000001,0.055105886932225213,0.008331968954508568,0.0097638734103983015,0.00037587569787420668
0.014,0.05495953775585001,0.0079365526209907271,0.0093724975278789424,0.00047185091195538469
0.015,0.054865875391746831,0.0087017620993456689,0.0089245916887879424,0.00050209913741141102
0.016,0.05414627296146092,0.0088035648776914194,0.0084752290874940839,0.00045880359989396678
0.017,0.053667023784925369,0.0085155120176825493,0.0080691327238227358,0.00029440739790293066
0.018000000000000002,0.053133581218543911,0.0078108332435828827,0.0078524261469591818,0.00045229419974387097
0.019,0.052297294452877507,0.0076733127978668401,0.0075736712390633027,0.00034914746838563557
0.02,0.052331173072160633,0.0080037229425359777,0.0072429124397810586,0.00032121111953324101
0.021,0.051065828868500696,0.0081566265127010831,0.0068917578049953509,0.00042623949617304896
0.022,0.050382592008496443,0.0067091670188892186,0.0067056604097626956,0.00031686242764428175
0.023,0.049856899297853766,0.00691229474323991,0.0069168447005837535,0.0002079090438746661
0.024,0.049208435655605245,0.0062334508056956124,0.0072665821583684925,0.00022084549243148914
0.025,0.04789180258961117,0.0059429159002467487,0.0075664110212020717,0.00016800384365888398
0.026000000000000002,0.046554857880830511,0.00437300098613096,0.0079001416912811758,0.00023087479639227141
0.027,0.045628214650020343,0.0050276977558447317,0.0082280449391487834,0.00025731770348426299
0.028,0.044707832689475965,0.0050086865670883642,0.0085460494065641487,0.0002248301814640136
0.029,0.043618831509429599,0.0053706591043532273,0.0088988441766953471,0.00023240225597377824
0.03,0.042099870202537276,0.0051053444740069044,0.0092590612679744333,0.00025209195519730349
0.031,0.041293341646402131,0.0043849540161195431,0.0096416987959307733,0.00021828811600853662
0.032,0.040083009232708376,0.0046191497671105725,0.010083694776266656,0.00024180904159271273
0.033,0.038445487396401468,0.0045188022626906563,0.01067920824514767,0.00024984942026031777
0.034,0.037373064185883278,0.0028477670372648103,0.011370522396824156,0.00032447678954165924
0.035,0.036059543146660371,0.0033175067338586522,0.012047568990656336,0.00029709458500749245
0.036000000000000004,0.034574303048538514,0.0031834369723831336,0.012791250755715244,0.00037453144573166685
0.037,0.032669517878673102,0.0039359259698428118,0.014051397481122321,0.00048289376333706703
0.038,0.031538205169963585,0.0027355478983331228,0.015780046029436723,0.00071838935044546241
0.039,0.029860867811948223,0.0031170853972357273,0.017546313062835706,0.00073216223228056085
0.04,0.028024129721917597,0.0046192044439818062,0.019644543961419198,0.00083088444273596643
0.041,0.026299348224980135,0.0052759945636552293,0.021786830943026966,0.00074103858743922515
0.042,0.024212910903425783,0.0052658884715023179,0.024387731734327515,0.0010318563754072117
0.043000000000000003,0.022915339321206551,0.0051878389582577511,0.026798448848456495,0.00099823606911289726
0.044,0.021639331876681274,0.003926781890195203,0.029632110877641199,0.00091749854516382998
0.045,0.019933492563899809,0.0051985190810512911,0.03254755999776679,0.0011197659437912517
0.046,0.018804177122030058,0.004986838522294792,0.035433187469087787,0.0010111482845834296
0.047,0.0175466983474745,0.0044292510104561901,0.038503193267110394,0.0011628144260514214
0.048,0.015914341157416391,0.0040625968871427949,0.041509442026456247,0.0013560931532501687
0.049,0.014721471320646514,0.0048766292461582487,0.044658862341585039,0.0014673828977038381
0.05,0.014074277881315442,0.0046893442514581735,0.047787274318043554,0.0011801810847553267
