From,To,Distance,Value,KSIM,AWACE
Residential,Residential,0,1000,0.065828825,0.006370147
Industry & commerce,Industry & commerce,0,1000,0.065828825,0.006370147
Agricultural areas,Agricultural areas,0,1000,0.065828825,0.006370147
Pastures,Pastures,0,500,0.065828825,0.006370147
Permanent crops,Permanent crops,0,469.5668176,0.065863685,0.006105944
Recreation areas,Recreation areas,0,1000,0.065863685,0.006105944
Forest,Forest,0,500,0.065863685,0.006105944
Arable land,Arable land,0,250,0.065863685,0.006105944
Residential,Residential,1,54.00599731,0.066736601,0.006862176
Industry & commerce,Industry & commerce,1,74.16860969,0.069413609,0.007699532
Agricultural areas,Agricultural areas,1,47.11762656,0.069766891,0.009314005
Pastures,Pastures,1,33.53282294,0.072189954,0.015973678
Permanent crops,Permanent crops,1,52.37987356,0.072819588,0.018613644
Recreation areas,Recreation areas,1,44.98900294,0.074565665,0.018906772
Forest,Forest,1,54.50849719,0.08397118,0.039661597
Arable land,Arable land,1,1.219592813,0.0844629,0.03563884
Agricultural areas,Residential,0,52.88237344,0.084490862,0.035648408
Pastures,Residential,0,55.01099706,0.084586742,0.035650283
Permanent crops,Residential,0,11.25,0.084586742,0.035650283
Arable land,Residential,0,17.62745781,0.084756567,0.035605574
Natural areas,Residential,0,48.12262631,0.084763303,0.03552655
Forest,Agricultural areas,0,66.46717706,0.084828799,0.035485572
Residential,Industry & commerce,0,10.23658719,0.084834714,0.035489941
Agricultural areas,Industry & commerce,0,11.25,0.084834714,0.035489941
Agricultural areas,Pastures,0,11.25,0.084834714,0.035489941
Pastures,Industry & commerce,0,51.56681169,0.084949288,0.035500992
Pastures,Agricultural areas,0,32.21726119,0.084982173,0.035497696
Permanent crops,Industry & commerce,0,78.11529494,0.085027449,0.035493473
Permanent crops,Agricultural areas,0,11.25,0.085027449,0.035493473
Permanent crops,Pastures,0,11.25,0.085027449,0.035493473
Arable land,Industry & commerce,0,7.797401562,0.085029565,0.035510591
Arable land,Agricultural areas,0,45,0.085029565,0.035510591
Arable land,Pastures,0,45.49150281,0.085042773,0.035519677
Arable land,Permanent crops,0,14.18327244,0.085577197,0.034935235
Natural areas,Pastures,0,18.44051969,0.085622819,0.034899322
Fresh water,Recreation areas,0,11.25,0.085622819,0.034899322
Residential,Recreation areas,0,22.5,0.085622819,0.034899322
Pastures,Recreation areas,0,18.94301956,0.085628095,0.03489956
Arable land,Recreation areas,0,97.77540744,0.085907948,0.034907516
Agricultural areas,Arable land,0,11.25,0.085907948,0.034907516
Pastures,Arable land,0,45,0.085907948,0.034907516
Permanent crops,Arable land,0,72.54248594,0.086444707,0.034228689
Arable land,Forest,0,1.722092687,0.087972706,0.03312388
Natural areas,Forest,0,99.59346906,0.098509907,0.034434956
Natural areas,Arable land,0,24.01332869,0.098515915,0.034446945
Agricultural areas,Residential,1,2.224592561,0.098516465,0.034451886
Fresh water,Agricultural areas,1,0.75,0.098516465,0.034451886
Mine & dump sites,Pastures,1,99.59346906,0.099664204,0.033441783
Mine & dump sites,Permanent crops,1,27.96001394,0.099677641,0.033438655
Recreation areas,Industry & commerce,1,40.73175569,0.100200413,0.033457377
Recreation areas,Pastures,1,74.16860969,0.104583439,0.03159643
Residential,Industry & commerce,1,7.797401562,0.104643385,0.031615034
Agricultural areas,Permanent crops,1,19.25358156,0.104781862,0.031847093
Permanent crops,Industry & commerce,1,30.39919956,0.105041759,0.031591494
Permanent crops,Agricultural areas,1,25.83139031,0.105086969,0.031525246
Permanent crops,Pastures,1,10.73908706,0.105139113,0.031528706
Arable land,Pastures,1,0.75,0.105139113,0.031528706
Arable land,Permanent crops,1,0.75,0.105139113,0.031528706
Fresh water,Recreation areas,1,25.83139031,0.105239661,0.031676981
Industry & commerce,Recreation areas,1,16.81439594,0.105474806,0.031704739
Residential,Recreation areas,1,15.49883419,0.105563973,0.03185588
Pastures,Arable land,1,1.5,0.105563973,0.03185588
Permanent crops,Arable land,1,3,0.105563973,0.03185588
Natural areas,Forest,1,7.797401562,0.107338545,0.031899762
